pop aut_x_ratio aut chrX aut_stderr chrX_stderr
FIN 3.9 1.03 0.35 0.07 0.17
CEU 3.6 0.91 0.35 0.05 0.17
GBR 3.5 0.91 0.34 0.06 0.15
PEL 3.2 1.36 0.51 0.14 0.2
TSI 3.1 0.85 0.35 0.05 0.17
MXL 3.1 1.17 0.44 0.14 0.18
IBS 2.9 0.86 0.37 0.05 0.15
CLM 2.9 1.0 0.44 0.09 0.21
CHB 2.8 1.66 0.68 0.07 0.24
PUR 2.8 0.89 0.4 0.07 0.17
GIH 2.7 1.32 0.6 0.08 0.25
CHS 2.7 1.66 0.69 0.07 0.25
JPT 2.6 1.64 0.68 0.07 0.23
KHV 2.5 1.63 0.71 0.07 0.22
CDX 2.4 1.65 0.76 0.06 0.27
PJL 2.4 1.28 0.64 0.1 0.26
ITU 2.3 1.37 0.69 0.07 0.24
STU 2.2 1.38 0.68 0.07 0.22
BEB 2.2 1.41 0.74 0.08 0.27
